family,candidate,log_loss,brier,mse,auc_macro_ovr,auc_weighted_ovr,top_label_ece_10,classwise_ece_10,adaptive_top_ece_10,accuracy,params
cat,3.0,1.1869509820587325,0.65679590882652,0.16419897720663,0.6612781538513136,0.6352718283418931,0.027931184979036513,0.024226819266760742,0.03975569792007931,0.46764388286228664,"{""bagging_temperature"": 0.7, ""depth"": 4, ""iterations"": 700, ""l2_leaf_reg"": 30, ""learning_rate"": 0.025, ""random_strength"": 0.8}"
cat,0.0,1.1873995173283147,0.6575362925873545,0.16438407314683862,0.6600875415201807,0.6335595767626432,0.02600124813405781,0.02570360509371961,0.04269654131819853,0.4647990003832029,"{""bagging_temperature"": 0.5293, ""depth"": 5, ""iterations"": 700, ""l2_leaf_reg"": 27.7875, ""learning_rate"": 0.0246623, ""random_strength"": 0.6303}"
cat,2.0,1.1876465036829527,0.6572068884564772,0.1643017221141193,0.660031733963681,0.6336487971289954,0.028282122241656778,0.02427320181853681,0.03196798108652239,0.4665068341553349,"{""bagging_temperature"": 0.5, ""depth"": 4, ""iterations"": 500, ""l2_leaf_reg"": 20, ""learning_rate"": 0.035, ""random_strength"": 0.5}"
cat,1.0,1.1882521624626483,0.658172794214304,0.16454319855357596,0.6591262420499927,0.6326372279999493,0.024560729232709123,0.025358436864722306,0.04385628595233782,0.46307648111231753,"{""bagging_temperature"": 0.5, ""depth"": 5, ""iterations"": 600, ""l2_leaf_reg"": 20, ""learning_rate"": 0.03, ""random_strength"": 0.5}"
cat,4.0,1.189014791974564,0.6583783497289091,0.16459458743222727,0.6591768118302909,0.632659320660997,0.028283191700225717,0.026082643611291315,0.043051500706283025,0.4639320289278231,"{""bagging_temperature"": 0.5, ""depth"": 6, ""iterations"": 500, ""l2_leaf_reg"": 30, ""learning_rate"": 0.03, ""random_strength"": 0.7}"
xgb,1.0,1.1906417987990636,0.6591400123261282,0.16478500308153204,0.657508677441861,0.6303055217041236,0.023903319723791925,0.02284360280714762,0.03683196903643189,0.46391900811076253,"{""colsample_bytree"": 0.8995, ""gamma"": 0.6703, ""learning_rate"": 0.0168322, ""max_depth"": 2, ""min_child_weight"": 23.2608, ""n_estimators"": 800, ""reg_alpha"": 1.111, ""reg_lambda"": 10.0417, ""subsample"": 0.8631}"
xgb,4.0,1.1906639119497524,0.6590421049121638,0.16476052622804094,0.6578595245884767,0.6305397957961947,0.02897588217324052,0.024758788766429403,0.05269902185250962,0.469630871145128,"{""colsample_bytree"": 0.9, ""gamma"": 0.5, ""learning_rate"": 0.015, ""max_depth"": 3, ""min_child_weight"": 25, ""n_estimators"": 700, ""reg_alpha"": 2, ""reg_lambda"": 30, ""subsample"": 0.85}"
xgb,0.0,1.1909287038563763,0.659707828870096,0.164926957217524,0.656780196788129,0.6292537342730288,0.02790270398324643,0.024157683539064022,0.0350893390953569,0.46478143152427737,"{""colsample_bytree"": 0.9, ""gamma"": 0.5, ""learning_rate"": 0.02, ""max_depth"": 2, ""min_child_weight"": 20, ""n_estimators"": 700, ""reg_alpha"": 1, ""reg_lambda"": 10, ""subsample"": 0.9}"
xgb,2.0,1.1909564927514276,0.6599093060107784,0.1649773265026946,0.6570473170894616,0.6289708963547226,0.022505616633609924,0.026231500403089435,0.04367259115004278,0.4647886259103508,"{""colsample_bytree"": 0.9, ""gamma"": 0, ""learning_rate"": 0.02, ""max_depth"": 3, ""min_child_weight"": 15, ""n_estimators"": 500, ""reg_alpha"": 2, ""reg_lambda"": 30, ""subsample"": 0.9}"
xgb,3.0,1.1909727639951146,0.6590282670462501,0.16475706676156246,0.6576183953166607,0.6306255409582012,0.02783387009306533,0.02328540817016236,0.040282742300825625,0.46593346569345423,"{""colsample_bytree"": 0.9, ""gamma"": 0.5, ""learning_rate"": 0.03, ""max_depth"": 2, ""min_child_weight"": 15, ""n_estimators"": 450, ""reg_alpha"": 2, ""reg_lambda"": 20, ""subsample"": 0.9}"
